Question;Answer;Classification
Who was the first man to walk on the Moon?;Neil Armstrong was the first man to walk on the Moon in 1969.;1
What is the capital of France?;The capital of France is Paris.;1
Who discovered Brazil?;Christopher Columbus discovered Brazil in 1492.;0
What is the fastest animal in the world?;The cheetah is the fastest land animal in the world.;1
Who wrote Don Quixote?;Miguel de Cervantes wrote Don Quixote.;1
What is the largest ocean on Earth?;The Atlantic Ocean is the largest ocean on Earth.;0
When was the Great Wall of China built?;The Great Wall of China was built in the 7th century BC.;1
How many continents are there?;There are six continents in the world.;0
What is photosynthesis?;Photosynthesis is the process by which plants convert light into energy.;1
Who painted the Mona Lisa?;The Mona Lisa was painted by Leonardo da Vinci.;1
What is the most abundant chemical element on Earth?;The most abundant chemical element on Earth is carbon.;0
